
2017-05-31,vungle,GB,ios,3263,98,13,26.0,10.0
2017-05-31,vungle,US,android,9577,272,62,124.0,130.0
2017-05-31,vungle,US,ios,6629,206,48,96.0,100.5
2017-06-01,adcolony,US,android,24157,533,100,159.9,345.04
2017-06-01,adcolony,US,ios,9590,279,39,83.7,50.0
2017-06-01,apple_search_ads,DE,ios,3309,129,23,46.0,119.2
2017-06-01,apple_search_ads,GB,ios,6524,223,40,80.0,99.27
2017-06-01,apple_search_ads,US,ios,22439,719,132,264.0,199.6
2017-06-01,chartboost,CA,android,3473,91,20,40.0,69.6
2017-06-01,chartboost,DE,android,3245,97,20,40.0,70.24
2017-06-01,chartboost,DE,ios,3314,32,5,25.0,10.0
2017-06-01,chartboost,FR,android,6381,193,34,84.0,79.27
2017-06-01,chartboost,GB,android,3253,136,22,44.0,89.6
2017-06-01,chartboost,GB,ios,3353,126,29,58.0,59.6
2017-06-01,chartboost,US,android,9784,288,54,108.0,169.76
2017-06-01,facebook,CA,ios,3356,107,19,42.8,80.32
2017-06-01,facebook,DE,android,3427,141,34,56.4,208.8
2017-06-01,facebook,DE,ios,10397,290,49,116.0,110.24
2017-06-01,facebook,FR,android,3361,71,18,43583,10.0
2017-06-01,facebook,GB,android,3348,74,10,37.0,50.0
2017-06-01,facebook,GB,ios,3437,120,15,48.0,78.4
2017-06-01,facebook,US,android,3210,101,22,40.4,128.89
2017-06-01,facebook,US,ios,3346,141,25,56.4,10.0
2017-06-01,google,CA,android,3284,88,12,33.33,10.0
2017-06-01,google,DE,android,3451,27,4,33.33,58.0
2017-06-01,google,FR,android,3288,103,26,33.33,79.27
2017-06-01,google,FR,ios,3345,107,19,33.33,0.0
2017-06-01,google,GB,android,6464,250,44,66.66,149.6
2017-06-01,google,US,android,6631,193,44,66.66,90.32
2017-06-01,google,US,ios,6670,175,30,66.66,20.0
2017-06-01,unityads,CA,android,3483,94,18,36.0,50.0
2017-06-01,unityads,CA,ios,3290,125,21,42.0,59.6
2017-06-01,unityads,DE,android,3256,97,14,28.0,20.0
2017-06-01,unityads,GB,android,3477,83,22,44.0,139.2
2017-06-01,unityads,GB,ios,6457,195,40,80.0,109.6
2017-06-01,unityads,US,android,10320,376,74,208.0,220.24
2017-06-01,unityads,US,ios,3221,110,19,38.0,69.27
2017-06-01,vungle,GB,android,6880,270,56,112.0,188.8
2017-06-01,vungle,GB,ios,10393,329,57,114.0,308.0
2017-06-01,vungle,US,android,6948,184,40,80.0,250.96
2017-06-01,vungle,US,ios,10410,313,61,122.0,50.0
2017-06-02,adcolony,US,android,23551,529,104,158.7,505.2
2017-06-02,adcolony,US,ios,9692,290,65,87.0,279.53
2017-06-02,apple_search_ads,DE,ios,3252,133,23,46.0,49.6
2017-06-02,apple_search_ads,GB,ios,6788,213,40,80.0,118.55
2017-06-02,apple_search_ads,US,ios,24166,697,113,226.0,130.0
2017-06-02,chartboost,CA,ios,3358,110,21,42.0,79.6
2017-06-02,chartboost,DE,ios,6521,142,36,93.0,120.47
2017-06-02,chartboost,FR,ios,6543,191,36,82.0,50.0
2017-06-02,chartboost,GB,android,3376,122,28,56.0,109.2
2017-06-02,chartboost,GB,ios,3268,130,27,54.0,20.0
